Designator,Footprint,Quantity,Value,LCSC Part #
1,MOV,1,,
"BOOT, RST",SW-SMD_L3.9-W3.0-P4.45,2,,
"C1, C16, C18, C19, C2, C20, C21, C3, C4",C0603,9,,
C17,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,,
"C22, C23, C24, C25, C26, C27, C28",C0402,7,,
CARD1,TF-SMD_TF-PUSH,1,,
"CN1, CN5, CN6, CN7",CONN-TH_8P-P5.08_HT508R-5.08-8P,4,,
"D11, D22, D23",SOD-123_L2.7-W1.6-LS3.7-RD,3,,
D21,SMA_L4.2-W2.7-LS5.0-RD,1,,
ESP_3V3,TP-SMD,1,,
"K5, K6, K7, K8",RELAY-TH_HRS2H-S-XX,4,,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED0603-RD,8,,
"Q1, Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2,,
"R1, R10, R11, R12, R13, R16, R2, R3, R4, R47, R5, R6, R60, R62, R63, R64, R65, R66, R7, R8, R9",R0603,21,,
"R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59",R0402,11,,
"RN1, RN2",RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL,2,,
U1,SOP-16_L10.2-W3.9-P1.27-LS6.0-BL,1,,
U14,SMD-7_L42.8-W15.2-P2.54_TTL485,1,,
"U2, U3, U4, U5",SMD-4_L6.5-W4.6-P2.54-LS10.0-TL,4,,
U27,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP-2,1,,
U28,IND-SMD_L11.6-W10.1,1,,
U29,WIRELM-SMD_ESP32-S3-WROOM-1U,1,,
U30,QFN-28_L5.0-W5.0-P0.50-TL-EP3.3,1,,
"U31, U32, U33, U34, U35, U36",SOD-523_L1.2-W0.8-LS1.6-BI,6,,
U37,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,,
U38,BAT-TH_CR1220ZTV02-4,1,,
"U39, U40",CONN-SMD_4P-P1.00_ZX-SH1.0-4PLN,2,,
U41,LED-SMD_4P-L3.5-W3.5-BR_SK6812MINI-HS,1,,
U42,TO-92-3_L4.8-W3.7-P1.27-L,1,,
U43,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,,
U6,SOIC-16_L10.3-W7.5-P1.27-LS10.3-BL,1,,
"USBC1, USBC2",USB-C_SMD-TYPE-C-31-M-12,2,,
